Toronto Municipality,Neighbourhoods
C01,"Bay Street Corridor, Dufferin Grove, Kensington-Chinatown, Little Portugal, Niagara, Palmerston-Little Italy, Trinity-Bellwoods, University, Waterfront Communities-The Island"
C02,"Annex, Casa Loma, Wychwood, Yonge-St.Clair"
C03,"Forest Hill South, Humewood-Cedarvale, Oakwood Village, Yonge-Eglinton"
C04,"Bedford Park-Nortown, Englemount-Lawrence, Forest Hill North, Lawrence Park North, Lawrence Park South"
C06,"Bathurst Manor, Clanton Park"
C07,"Lansing-Westgate, Newtonbrook West, Westminster-Branson, Willowdale West"
C08,"Cabbagetown-South St.James Town, Church-Yonge Corridor, Moss Park, North St.James Town, Regent Park"
C09,Rosedale-Moore Park
C10,"Mount Pleasant East, Mount Pleasant West"
C11,"Flemingdon Park, Leaside-Bennington, Thorncliffe Park"
C12,"Bridle Path-Sunnybrook-York Mills, St.Andrew-Windfields"
C13,"Banbury-Don Mills, Parkwoods-Donalda, Victoria Village"
C14,"Newtonbrook East, Willowdale East"
C15,"Bayview Village, Bayview Woods-Steeles, Don Valley Village, Henry Farm, Hillcrest Village, Pleasant View"
E01,"Blake-Jones, Greenwood-Coxwell, North Riverdale, South Riverdale"
E02,"East End-Danforth, The Beaches, Woodbine Corridor"
E03,"Broadview North, Danforth, Danforth East York, O'Connor-Parkview, Old East York, Playter Estates-Danforth, Taylor-Massey, Woodbine-Lumsden"
E04,"Clairlea-Birchmount, Dorset Park, Ionview, Kennedy Park, Wexford/Maryvale"
E05,"L'Amoreaux, Steeles, Tam O'Shanter-Sullivan"
E06,"Birchcliffe-Cliffside, Oakridge"
E07,"Agincourt North, Agincourt South-Malvern West, Milliken"
E08,"Cliffcrest, Eglinton East, Guildwood, Scarborough Village"
E09,"Bendale, Morningside, Woburn"
E10,"Centennial Scarborough, Highland Creek, West Hill"
E11,"Malvern, Rouge"
W01,"High Park-Swansea, Roncesvalles, South Parkdale"
W02,"Dovercourt-Wallace Emerson-Junction, High Park North, Junction Area, Lambton Baby Point, Runnymede-Bloor West Village"
W03,"Caledonia-Fairbank, Corso Italia-Davenport, Keelesdale-Eglinton West, Rockcliffe-Smythe, Weston-Pelham Park"
W04,"Beechborough-Greenbrook, Briar Hill-Belgravia, Brookhaven-Amesbury, Maple Leaf, Mount Dennis, Rustic, Weston, Yorkdale-Glen Park"
W05,"Black Creek, Downsview-Roding-CFB, Glenfield-Jane Heights, Humber Summit, Humbermede, Pelmo Park-Humberlea, York University Heights"
W06,"Alderwood, Long Branch, Mimico, New Toronto"
W07,Stonegate-Queensway
W08,"Edenbridge-Humber Valley, Eringate-Centennial-West Deane, Etobicoke West Mall, Islington-City Centre West, Kingsway South, Markland Wood, Princess-Rosethorn"
W09,"Humber Heights-Westmount, Kingsview Village-The Westway, Willowridge-Martingrove-Richview"
W10,"Elms-Old Rexdale, Mount Olive-Silverstone-Jamestown, Rexdale-Kipling, Thistletown-Beaumond Heights, West Humber-Clairville"
